date;open ;high;low;close
24.03.2016;39.55;39.76;38.33;39.58
28.03.2016;39.75;40.13;38.86;39.3
29.03.2016;39.32;39.36;37.91;38.49
30.03.2016;38.66;39.83;38.14;38.3
31.03.2016;38.05;39.03;37.58;38.09
01.04.2016;38.17;38.37;36.63;36.67
04.04.2016;36.4;37.19;35.45;35.45
05.04.2016;35.43;36.56;35.24;36.55
06.04.2016;36.68;37.89;36.56;37.73
07.04.2016;38;38.28;36.69;37.52
08.04.2016;37.53;39.83;37.53;39.53
11.04.2016;40.14;40.74;39.25;40.33
12.04.2016;40.16;42.24;40.09;41.64
13.04.2016;41.77;42.41;41.23;41.54
14.04.2016;42.88;43.32;42.05;42.62
15.04.2016;42.55;42.88;41.19;41.67
18.04.2016;39.51;41.63;39.35;41.46
19.04.2016;41.44;42.87;40.88;42.4
20.04.2016;41.79;44.24;41.29;43.95
21.04.2016;44;44.47;43.05;43.43
22.04.2016;43.53;44.44;43.1;43.72
25.04.2016;43.37;44.03;42.58;42.98
26.04.2016;42.91;44.82;42.5;44.65
27.04.2016;44.52;45.6;43.76;45.31
28.04.2016;45.19;46.13;44.94;45.88
29.04.2016;45.73;46.77;45.24;45.97
02.05.2016;45.64;46.14;44.55;44.89
03.05.2016;44.75;45.34;43.32;43.86
04.05.2016;43.86;44.87;43.22;44.06
05.05.2016;44.47;46.06;43.96;44.5
06.05.2016;44.38;45.32;43.53;44.56
09.05.2016;45.6;45.76;43.23;43.24
10.05.2016;43.26;44.78;43.03;44.53
11.05.2016;44.64;46.35;43.96;45.99
12.05.2016;46.64;47.71;46.33;47.19
13.05.2016;47.13;47.29;46.53;46.95
16.05.2016;46.99;48.66;46.9;48.6
17.05.2016;48.45;49.39;48.18;49.24
18.05.2016;49.06;49.54;48.31;48.43
19.05.2016;48.54;48.77;47.26;48.77
20.05.2016;48.89;49.28;47.95;48.45
23.05.2016;48.14;48.25;47.4;48.09
24.05.2016;48.05;49.26;47.64;49.09
25.05.2016;49.21;49.74;48.65;49.73
26.05.2016;49.55;50.2;49.21;49.4
27.05.2016;49.38;49.51;48.69;49.47
30.05.2016;49.54;49.61;49.07;49.59
31.05.2016;49.57;50.09;48.81;48.84
01.06.2016;48.88;49.25;47.75;48.9
02.06.2016;48.88;49.47;47.97;49.04
03.06.2016;49.01;49.39;48.32;48.81
06.06.2016;48.83;49.88;48.83;49.71
07.06.2016;49.63;50.52;49.44;50.43
08.06.2016;50.37;51.61;50.32;51.51
09.06.2016;51.58;51.64;50.23;50.44
10.06.2016;50.51;50.72;48.81;48.95
13.06.2016;48.67;49.27;48.15;48.56
14.06.2016;48.33;48.68;47.86;47.87
15.06.2016;47.84;48.71;47.28;47.48
16.06.2016;47.97;48.23;46.44;46.53
17.06.2016;46.83;48.77;46.81;48.7
20.06.2016;48.85;49.98;48.79;49.82
21.06.2016;49.88;50.39;48.85;50.19
22.06.2016;50.21;50.53;48.4;48.98
23.06.2016;49.41;50.22;49.11;50.13
24.06.2016;49.69;49.69;46.73;47.64
27.06.2016;47.14;47.95;45.83;46.59
28.06.2016;46.67;48.14;46.55;48.1
29.06.2016;48.16;49.99;48.03;49.52
30.06.2016;49.51;49.59;48.17;48.39
01.07.2016;48.49;49.23;47.89;49.21
04.07.2016;48.98;49.35;48.67;48.75
05.07.2016;48.62;48.64;46.32;46.85
06.07.2016;46.72;47.92;45.92;47.87
07.07.2016;47.65;48.24;44.88;45.18
08.07.2016;45.48;45.95;44.77;45.2
11.07.2016;45.1;45.76;44.42;44.53
12.07.2016;44.59;46.92;44.57;46.64
13.07.2016;46.32;46.65;44.56;45.1
14.07.2016;45.83;46.49;45.64;46.22
15.07.2016;45.99;47.04;45.78;46.67
18.07.2016;46.48;46.79;45.53;45.9
19.07.2016;45.85;46.37;45.3;45.43
20.07.2016;45.53;46.09;44.55;45.65
21.07.2016;45.69;46.08;44.52;44.53
22.07.2016;44.72;44.95;43.74;44.2
25.07.2016;44.27;44.36;42.96;43.05
26.07.2016;43.19;43.26;42.36;42.61
27.07.2016;42.67;43.19;41.67;41.9
28.07.2016;42.05;42.21;41.03;41.09
29.07.2016;41.04;41.66;40.57;41.45
01.08.2016;41.34;41.87;39.83;40.07
02.08.2016;40.14;40.89;39.25;39.72
03.08.2016;39.77;41.19;39.24;41.16
04.08.2016;41.29;42.07;40.43;41.81
05.08.2016;41.82;42.07;41.06;41.89
08.08.2016;42.01;43.38;41.81;42.84
09.08.2016;42.85;43.51;42.47;42.75
10.08.2016;42.66;43.37;41.41;41.49
11.08.2016;41.45;43.85;41.1;43.43
12.08.2016;43.67;44.7;43.31;44.69
15.08.2016;44.61;45.91;44.38;45.7
16.08.2016;45.63;46.72;45.34;46.41
17.08.2016;46.3;46.93;45.85;46.92
18.08.2016;47.52;49.04;47.28;48.96
19.08.2016;48.87;49.35;48.54;48.99
22.08.2016;48.78;48.85;47.33;47.38
23.08.2016;47.19;48.31;46.59;47.57
24.08.2016;47.66;47.72;46.44;46.78
25.08.2016;46.77;47.44;46.42;47.38
26.08.2016;47.35;48.45;46.93;47.3
29.08.2016;47.15;47.27;46.62;46.94
30.08.2016;47.01;47.48;46.21;46.26
31.08.2016;46.22;46.39;44.5;44.84
01.09.2016;44.81;45.06;43;43.52
02.09.2016;43.56;44.67;43.15;44.24
05.09.2016;44.11;46.53;44.06;45.16
06.09.2016;45.09;45.6;43.84;44.88
07.09.2016;44.76;46.16;44.54;46.13
08.09.2016;46.21;47.73;45.77;47.3
09.09.2016;47.28;47.29;45.82;45.88
12.09.2016;45.39;46.51;44.72;46.05
13.09.2016;46.08;46.11;44.77;44.97
14.09.2016;45.14;45.31;43.42;43.62
15.09.2016;44.33;44.95;43.87;44.3
16.09.2016;44.2;44.31;43.36;43.77
19.09.2016;44.27;44.68;43.7;43.75
20.09.2016;43.72;44.58;43.06;44.43
21.09.2016;44.83;45.64;44.7;45.61
22.09.2016;45.56;46.51;45.56;46.07
23.09.2016;45.95;46.54;44.21;44.73
26.09.2016;44.89;46.19;44.43;45.6
27.09.2016;45.67;45.94;44.19;44.92
28.09.2016;44.86;47.42;44.35;47.16
29.09.2016;47.27;48.3;46.6;47.71
30.09.2016;47.78;48.29;47.04;47.95
03.10.2016;47.8;49.01;47.79;48.64
04.10.2016;48.65;49.25;48.26;49.2
05.10.2016;49.15;49.95;49.11;49.69
06.10.2016;49.68;50.61;49.32;50.56
07.10.2016;50.55;50.74;49.41;49.67
10.10.2016;49.25;51.59;49.19;51.14
11.10.2016;51.26;51.51;50.39;50.86
12.10.2016;50.81;51.16;49.89;50.01
13.10.2016;50.35;50.98;49.78;50.9
14.10.2016;50.97;51.49;50.3;50.71
17.10.2016;50.47;50.99;49.9;50.45
18.10.2016;50.51;51.08;50.13;51.08
19.10.2016;51.11;52.22;51;51.65
20.10.2016;51.73;51.81;50.44;50.61
21.10.2016;50.6;51.01;50.21;50.88
24.10.2016;50.62;50.97;49.62;50.47
25.10.2016;50.52;50.92;49.27;49.29
26.10.2016;49.27;50.09;48.87;49.21
27.10.2016;49.23;50.04;49;49.6
28.10.2016;49.69;49.8;48.41;48.75
31.10.2016;48.32;48.72;46.64;46.74
01.11.2016;46.96;47.34;46.19;46.33
02.11.2016;46.37;46.45;44.98;45.49
03.11.2016;45.66;45.89;44.36;44.64
04.11.2016;44.73;44.85;43.57;44.09
07.11.2016;44.5;44.99;44.1;44.94
08.11.2016;44.91;45.37;44.4;44.81
09.11.2016;45.06;45.93;43.07;45.29
10.11.2016;45.06;45.61;44.24;44.27
11.11.2016;44.46;44.61;43.04;43.13
14.11.2016;43.55;43.78;42.19;43.68
15.11.2016;43.67;46.06;43.61;45.74
16.11.2016;45.7;46.38;45.02;45.31
17.11.2016;45.96;47.09;45.46;45.5
18.11.2016;45.43;46.42;45.16;46.32
21.11.2016;46.73;48.49;46.66;48.31
22.11.2016;48.69;49.18;47.16;47.89
23.11.2016;48.1;48.4;47.39;47.92
24.11.2016;48.09;48.23;47.79;47.96
25.11.2016;47.93;47.99;45.87;45.95
28.11.2016;45.47;47.62;45.35;46.87
29.11.2016;46.89;46.95;44.82;45.21
30.11.2016;45.5;49.88;45.38;48.97
01.12.2016;49.25;51.78;49.07;50.88
02.12.2016;51.05;51.71;50.17;51.51
05.12.2016;51.23;52.38;50.91;50.93
06.12.2016;51.29;51.58;50.27;50.89
07.12.2016;50.82;51.18;49.71;49.81
08.12.2016;50;50.95;49.59;50.94
09.12.2016;51;51.64;50.83;51.49
12.12.2016;53.71;54.46;52.18;52.41
13.12.2016;52.76;53.38;52.34;52.45
14.12.2016;52.26;52.76;50.66;50.74
15.12.2016;51.96;52.5;51.08;52.12
16.12.2016;52.19;53.13;51.55;52.98
19.12.2016;53.17;53.57;52.55;53.1
20.12.2016;53.07;53.75;52.82;53.49
21.12.2016;53.56;53.76;52.32;52.5
22.12.2016;52.56;53.16;52.07;52.64
23.12.2016;52.61;53.1;52.25;53.03
27.12.2016;53.12;54.08;53.02;53.86
28.12.2016;53.73;54.31;53.55;53.62
29.12.2016;53.73;54.19;53.58;53.82
30.12.2016;53.92;54.06;53.4;53.75
03.01.2017;54.11;55.22;52.13;52.46
04.01.2017;52.57;53.37;52.14;53.33
05.01.2017;53.13;54.1;52.78;53.75
06.01.2017;53.69;54.29;53.32;53.65
09.01.2017;53.78;53.8;51.74;51.76
10.01.2017;52.02;52.35;50.7;50.75
11.01.2017;50.94;52.75;50.74;52.35
12.01.2017;52.21;53.48;52.1;53.01
13.01.2017;53.8;53.97;53.07;53.27
16.01.2017;53.29;53.48;52.88;53.4
17.01.2017;53.31;54.31;53.03;53.32
18.01.2017;53.28;53.58;51.71;52.17
19.01.2017;52.29;52.65;51.79;52.14
20.01.2017;52.31;53.65;52.12;53.14
23.01.2017;53.27;53.31;52.2;52.82
24.01.2017;52.94;53.54;52.66;52.91
25.01.2017;52.96;53.45;52.55;52.92
26.01.2017;53.01;54.04;52.77;53.7
27.01.2017;53.69;54.04;52.57;53.14
30.01.2017;52.97;53.45;52.4;52.54
31.01.2017;52.6;53.54;52.23;52.77
